x,y,species cloglog values
1.0,1.0,0.0011662977
2.0,2.0,0.030061802
3.0,3.0,0.01454886
4.0,4.0,2.99165E-4
5.0,5.0,0.08008002
6.0,6.0,0.21546258
7.0,7.0,0.13916041
8.0,8.0,0.016834063
9.0,9.0,0.08579871
10.0,10.0,0.010166329
11.0,11.0,5.286381E-4
12.0,12.0,0.0013689538
13.0,13.0,0.19648728
14.0,14.0,0.07708743
15.0,15.0,0.0035320441
16.0,16.0,0.14274612
17.0,17.0,0.0045523806
18.0,18.0,0.051435936
19.0,19.0,0.026450718
20.0,20.0,0.0029490937
21.0,21.0,6.757058E-4
22.0,22.0,0.022692332
23.0,23.0,0.0018008937
24.0,24.0,0.0054413253
25.0,25.0,0.115264125
26.0,26.0,0.088217996
27.0,27.0,0.037444003
28.0,28.0,0.002063806
29.0,29.0,0.5286094
30.0,30.0,0.0058760275
31.0,31.0,0.053686332
32.0,32.0,0.05170648
33.0,33.0,0.0053250627
34.0,34.0,0.014990713
35.0,35.0,0.009985283
36.0,36.0,0.053302653
37.0,37.0,0.0042469045
38.0,38.0,0.64121014
39.0,39.0,0.009022296
40.0,40.0,0.0037985498
41.0,41.0,0.15057424
42.0,42.0,7.204245E-4
43.0,43.0,0.29758734
44.0,44.0,0.070466936
45.0,45.0,0.004336405
46.0,46.0,0.07324291
47.0,47.0,0.0014582663
48.0,48.0,0.01617143
49.0,49.0,0.42034134
50.0,50.0,0.0022204688
51.0,51.0,0.007903218
52.0,52.0,0.057335727
53.0,53.0,0.011158286
54.0,54.0,0.015120282
55.0,55.0,0.0030003444
56.0,56.0,0.0118363425
57.0,57.0,0.043232977
58.0,58.0,0.47195378
59.0,59.0,0.05113678
60.0,60.0,0.29729193
61.0,61.0,0.007885747
62.0,62.0,0.019459886
63.0,63.0,0.019083986
64.0,64.0,0.5044398
65.0,65.0,0.09997616
66.0,66.0,0.17686369
67.0,67.0,4.9988856E-4
68.0,68.0,0.24867189
69.0,69.0,0.06323437
70.0,70.0,8.3217275E-4
71.0,71.0,0.0034889178
72.0,72.0,0.0014855384
73.0,73.0,0.2256073
74.0,74.0,0.0036493405
75.0,75.0,0.058266453
76.0,76.0,0.025024679
77.0,77.0,0.06705856
78.0,78.0,0.12743291
79.0,79.0,0.17484155
80.0,80.0,0.041795112
81.0,81.0,0.04063217
82.0,82.0,0.06284156
83.0,83.0,0.18032986
84.0,84.0,0.003146514
85.0,85.0,0.0021848818
86.0,86.0,0.5815428
87.0,87.0,0.12284318
88.0,88.0,0.001407563
89.0,89.0,0.005751715
90.0,90.0,0.010730761
91.0,91.0,0.009608925
92.0,92.0,0.64247334
93.0,93.0,8.631699E-4
94.0,94.0,0.372146
95.0,95.0,0.0027268492
96.0,96.0,0.10543204
97.0,97.0,0.16792035
98.0,98.0,0.032847844
99.0,99.0,0.0033246002
100.0,100.0,0.1200908
101.0,101.0,0.0026455466
102.0,102.0,0.0053453897
103.0,103.0,0.6973223
104.0,104.0,0.00682208
105.0,105.0,0.31035504
106.0,106.0,0.0076202685
107.0,107.0,0.00794341
108.0,108.0,0.057239685
109.0,109.0,0.0820394
110.0,110.0,0.0026311981
111.0,111.0,0.480673
112.0,112.0,0.29698586
113.0,113.0,5.957879E-4
114.0,114.0,0.048919402
115.0,115.0,0.010577661
116.0,116.0,0.6047335
117.0,117.0,0.0014969094
118.0,118.0,0.014504268
119.0,119.0,0.016049687
120.0,120.0,0.053101193
121.0,121.0,0.72908336
122.0,122.0,0.6628831
123.0,123.0,0.0075081717
124.0,124.0,0.0026194546
125.0,125.0,0.0010063713
126.0,126.0,0.027659917
127.0,127.0,0.0089655975
128.0,128.0,0.07926729
129.0,129.0,0.64912343
130.0,130.0,0.11638937
131.0,131.0,0.6474105
132.0,132.0,0.07051399
133.0,133.0,0.010830671
134.0,134.0,0.006730658
135.0,135.0,0.003318643
136.0,136.0,0.63207334
137.0,137.0,0.030830681
138.0,138.0,0.6659033
139.0,139.0,0.036834173
140.0,140.0,0.013933778
141.0,141.0,0.00935191
142.0,142.0,0.0012909597
143.0,143.0,0.007999074
144.0,144.0,0.45136404
145.0,145.0,0.001663093
146.0,146.0,0.0045280755
147.0,147.0,0.0012178684
148.0,148.0,0.004957296
149.0,149.0,0.12362098
150.0,150.0,0.0025135765
151.0,151.0,0.64114463
152.0,152.0,0.43719256
153.0,153.0,0.0679012
154.0,154.0,0.002398995
155.0,155.0,0.7017395
156.0,156.0,6.452489E-4
157.0,157.0,0.0025671583
158.0,158.0,0.030668784
159.0,159.0,0.063021064
160.0,160.0,0.008268942
161.0,161.0,0.0025686324
162.0,162.0,0.0010402869
163.0,163.0,0.3200963
164.0,164.0,0.0026738734
165.0,165.0,0.008342053
166.0,166.0,0.0046293233
167.0,167.0,0.0021845698
168.0,168.0,0.0014077211
169.0,169.0,0.14657612
170.0,170.0,0.0057068095
171.0,171.0,0.03779846
172.0,172.0,0.6650733
173.0,173.0,0.37176132
174.0,174.0,0.15955931
175.0,175.0,0.66448796
176.0,176.0,0.6632235
177.0,177.0,0.70012325
178.0,178.0,0.62558085
179.0,179.0,0.013603279
180.0,180.0,0.17752852
181.0,181.0,0.32751295
182.0,182.0,0.6142359
183.0,183.0,0.4663581
184.0,184.0,0.007530224
185.0,185.0,0.014373686
186.0,186.0,0.00959415
187.0,187.0,0.1545309
188.0,188.0,0.072446756
189.0,189.0,0.032136664
190.0,190.0,0.0025818662
191.0,191.0,0.0044302507
192.0,192.0,0.0020485478
193.0,193.0,0.20305265
194.0,194.0,0.13384522
195.0,195.0,0.011695616
196.0,196.0,0.012781127
197.0,197.0,0.0074426085
198.0,198.0,0.67976165
199.0,199.0,0.0051946826
200.0,200.0,0.00823183
201.0,201.0,0.65720445
202.0,202.0,0.0068777963
203.0,203.0,0.0029696652
204.0,204.0,0.0064696637
205.0,205.0,0.008288797
206.0,206.0,0.06901523
207.0,207.0,0.0049750805
208.0,208.0,0.00724246
209.0,209.0,0.0035951398
210.0,210.0,0.19368254
211.0,211.0,0.05087536
212.0,212.0,0.008059702
213.0,213.0,0.038814384
214.0,214.0,0.0014141604
215.0,215.0,0.0072838725
216.0,216.0,0.003129257
217.0,217.0,0.6956585
218.0,218.0,0.0059829177
219.0,219.0,0.040595274
220.0,220.0,0.10256271
221.0,221.0,0.01905109
222.0,222.0,0.0032794275
223.0,223.0,0.07103741
224.0,224.0,0.011792236
225.0,225.0,0.031122185
226.0,226.0,0.029932318
227.0,227.0,0.06760983
228.0,228.0,0.71443826
229.0,229.0,7.018474E-4
230.0,230.0,0.0011847123
231.0,231.0,0.10270823
232.0,232.0,0.0029379858
233.0,233.0,0.023256006
234.0,234.0,0.0024290788
235.0,235.0,9.800276E-4
236.0,236.0,0.023286045
237.0,237.0,0.11999525
238.0,238.0,0.003726732
239.0,239.0,0.0017641404
240.0,240.0,0.14077184
241.0,241.0,0.06174293
242.0,242.0,0.40617856
243.0,243.0,0.0061537656
244.0,244.0,0.10868295
245.0,245.0,7.3799543E-4
246.0,246.0,0.016865127
247.0,247.0,0.040293705
248.0,248.0,0.7172665
249.0,249.0,4.425629E-4
250.0,250.0,0.022360392
251.0,251.0,0.008930619
252.0,252.0,0.0035839716
253.0,253.0,0.06489522
254.0,254.0,0.0015392612
255.0,255.0,0.0114229685
256.0,256.0,0.002384966
257.0,257.0,0.00481155
258.0,258.0,0.6808644
259.0,259.0,0.0023968723
260.0,260.0,0.17483066
261.0,261.0,0.23889962
262.0,262.0,0.015624637
263.0,263.0,9.563654E-4
264.0,264.0,0.008861599
265.0,265.0,0.0012300699
266.0,266.0,0.0012655174
267.0,267.0,0.015011067
268.0,268.0,0.020074008
269.0,269.0,0.25291893
270.0,270.0,0.0017817805
271.0,271.0,0.0014806926
272.0,272.0,0.012533207
273.0,273.0,0.0022890482
274.0,274.0,0.015696514
275.0,275.0,0.15652871
276.0,276.0,0.09857456
277.0,277.0,0.5953617
278.0,278.0,0.05822574
279.0,279.0,0.0014650493
280.0,280.0,0.19729169
281.0,281.0,0.074420765
282.0,282.0,0.0065794676
283.0,283.0,0.0017292635
284.0,284.0,0.0014221537
285.0,285.0,0.0022407556
286.0,286.0,0.0040433807
287.0,287.0,0.6670741
288.0,288.0,0.0020219702
289.0,289.0,0.37732708
290.0,290.0,0.10701951
291.0,291.0,0.35094768
292.0,292.0,0.0110073695
293.0,293.0,0.35020903
294.0,294.0,0.4027316
295.0,295.0,0.011486743
296.0,296.0,0.0059514786
297.0,297.0,5.261915E-4
298.0,298.0,0.65425014
299.0,299.0,0.6780371
300.0,300.0,0.49260992
301.0,301.0,0.003154093
302.0,302.0,0.00318181
303.0,303.0,0.0012006037
304.0,304.0,0.6534105
305.0,305.0,0.010954405
306.0,306.0,0.027407069
307.0,307.0,0.0010319517
308.0,308.0,0.014409008
309.0,309.0,0.0016213341
310.0,310.0,0.6390485
311.0,311.0,0.0029903394
312.0,312.0,0.0041524936
313.0,313.0,0.0011597461
314.0,314.0,0.0029637374
315.0,315.0,0.49330395
316.0,316.0,0.4303559
317.0,317.0,0.21504258
318.0,318.0,0.69056463
319.0,319.0,7.4581185E-4
320.0,320.0,0.0057895435
321.0,321.0,0.04458087
322.0,322.0,0.00369977
323.0,323.0,0.0034873688
324.0,324.0,0.043120924
325.0,325.0,0.0042577824
326.0,326.0,0.18641245
327.0,327.0,0.0020923323
328.0,328.0,0.3324325
329.0,329.0,6.631625E-4
330.0,330.0,0.68286234
331.0,331.0,0.059798867
332.0,332.0,0.43388045
333.0,333.0,0.29602832
334.0,334.0,0.108827226
335.0,335.0,0.0013930261
336.0,336.0,0.08158639
337.0,337.0,0.0019208828
338.0,338.0,0.5335283
339.0,339.0,0.012447212
340.0,340.0,0.022931524
341.0,341.0,0.029319698
342.0,342.0,0.0067790006
343.0,343.0,0.0022877224
344.0,344.0,0.019511776
345.0,345.0,0.072514825
346.0,346.0,0.009605423
347.0,347.0,0.05432003
348.0,348.0,0.0025836658
349.0,349.0,0.15946624
350.0,350.0,0.26234868
351.0,351.0,0.0077264174
352.0,352.0,0.001404699
353.0,353.0,0.08827214
354.0,354.0,0.0064792624
355.0,355.0,0.17462318
356.0,356.0,0.008836416
357.0,357.0,0.010148071
358.0,358.0,0.0016780157
359.0,359.0,0.020917187
360.0,360.0,0.097981475
361.0,361.0,0.018068532
362.0,362.0,0.1046644
363.0,363.0,0.009140664
364.0,364.0,0.10899437
365.0,365.0,0.09214827
366.0,366.0,0.011712393
367.0,367.0,0.03717241
368.0,368.0,0.008993815
369.0,369.0,0.006224403
370.0,370.0,0.002370664
371.0,371.0,0.72094434
372.0,372.0,0.089144714
373.0,373.0,0.027582314
374.0,374.0,0.009238945
375.0,375.0,0.0142968325
376.0,376.0,0.012541576
377.0,377.0,0.008567184
378.0,378.0,0.031377163
379.0,379.0,0.004409396
380.0,380.0,0.0016785329
381.0,381.0,0.08157671
382.0,382.0,0.0013371585
383.0,383.0,0.0028203544
384.0,384.0,0.032287996
385.0,385.0,0.027077867
386.0,386.0,0.0083579905
387.0,387.0,0.0012149173
388.0,388.0,0.008946004
389.0,389.0,0.041687615
390.0,390.0,0.0056551015
391.0,391.0,0.0013122016
392.0,392.0,0.009770598
393.0,393.0,0.6540726
394.0,394.0,0.019254366
395.0,395.0,0.6487529
396.0,396.0,0.0050481544
397.0,397.0,0.66299486
398.0,398.0,0.020666948
399.0,399.0,0.042375583
400.0,400.0,5.7992537E-4
401.0,401.0,0.0021271678
402.0,402.0,0.002439126
403.0,403.0,0.010276752
404.0,404.0,0.0016074104
405.0,405.0,6.477878E-4
406.0,406.0,0.37672266
407.0,407.0,0.6980454
408.0,408.0,1.7305189E-4
409.0,409.0,0.0044249077
410.0,410.0,0.3566995
411.0,411.0,0.033457913
412.0,412.0,7.780057E-4
413.0,413.0,0.01503441
414.0,414.0,0.011949461
415.0,415.0,0.4765372
416.0,416.0,0.3668006
417.0,417.0,0.0034675826
418.0,418.0,0.0016696444
419.0,419.0,0.050028697
420.0,420.0,0.62726986
421.0,421.0,0.0067313598
422.0,422.0,0.0017818139
423.0,423.0,0.021238778
424.0,424.0,0.0038432225
425.0,425.0,0.008214612
426.0,426.0,0.0014930693
427.0,427.0,0.016693918
428.0,428.0,0.43258345
429.0,429.0,0.0066465745
430.0,430.0,0.6610001
431.0,431.0,0.061399985
432.0,432.0,0.29735184
433.0,433.0,0.0034777087
434.0,434.0,0.18771471
435.0,435.0,0.010909757
436.0,436.0,0.0033033134
437.0,437.0,0.003435694
438.0,438.0,0.14765105
439.0,439.0,0.0597434
440.0,440.0,0.0034545066
441.0,441.0,0.054013506
442.0,442.0,0.06552008
443.0,443.0,0.004565844
444.0,444.0,0.08684282
445.0,445.0,0.009035582
446.0,446.0,0.002725779
447.0,447.0,0.0060622864
448.0,448.0,0.0019879309
449.0,449.0,0.009195287
450.0,450.0,0.009552376
451.0,451.0,0.08529684
452.0,452.0,0.0011411948
453.0,453.0,0.0040888772
454.0,454.0,0.0020606932
455.0,455.0,0.017827796
456.0,456.0,0.007677651
457.0,457.0,0.0030902512
458.0,458.0,0.0018788292
459.0,459.0,0.016937004
460.0,460.0,0.0029757346
461.0,461.0,0.0085210055
462.0,462.0,0.0013761264
463.0,463.0,0.002457626
464.0,464.0,0.5042214
465.0,465.0,0.06200725
466.0,466.0,0.09661924
467.0,467.0,0.015025031
468.0,468.0,0.014638428
469.0,469.0,0.016420284
470.0,470.0,0.007798559
471.0,471.0,0.57954746
472.0,472.0,0.008838462
473.0,473.0,0.12847388
474.0,474.0,0.050451227
475.0,475.0,0.0020767
476.0,476.0,9.3686936E-4
477.0,477.0,0.014829491
478.0,478.0,0.05189073
479.0,479.0,0.058469765
480.0,480.0,0.024490235
481.0,481.0,0.2674038
482.0,482.0,0.006963139
483.0,483.0,0.0059630396
484.0,484.0,0.0036264244
485.0,485.0,0.68383604
486.0,486.0,0.23748904
487.0,487.0,0.005101809
488.0,488.0,0.002152837
489.0,489.0,0.67599607
490.0,490.0,0.6236731
491.0,491.0,0.034510903
492.0,492.0,0.0066252
493.0,493.0,0.18391035
494.0,494.0,0.011032902
495.0,495.0,0.0057938704
496.0,496.0,0.053214878
497.0,497.0,0.00791037
498.0,498.0,0.10252722
499.0,499.0,0.019341541
500.0,500.0,0.011164476
501.0,501.0,0.037198074
502.0,502.0,0.003743694
503.0,503.0,0.11376972
504.0,504.0,0.0018967361
505.0,505.0,0.30716765
506.0,506.0,0.023238152
507.0,507.0,0.43466914
508.0,508.0,0.6795479
509.0,509.0,0.0011109611
510.0,510.0,0.05064704
511.0,511.0,0.0100933695
512.0,512.0,0.054970935
513.0,513.0,0.29948917
514.0,514.0,0.64753723
515.0,515.0,0.35639474
516.0,516.0,0.053972274
517.0,517.0,0.30314052
518.0,518.0,0.0017784685
519.0,519.0,0.35267457
520.0,520.0,0.0014674457
521.0,521.0,0.019947024
522.0,522.0,0.020443676
523.0,523.0,0.0058684363
524.0,524.0,0.019699035
525.0,525.0,0.24339855
526.0,526.0,0.0043650735
527.0,527.0,0.002557095
528.0,528.0,0.030473758
529.0,529.0,0.65698385
530.0,530.0,0.013695673
531.0,531.0,0.0011400908
532.0,532.0,0.001038026
533.0,533.0,0.32766494
534.0,534.0,0.07422896
535.0,535.0,0.33651575
536.0,536.0,0.016423408
537.0,537.0,0.004386116
538.0,538.0,0.4325734
539.0,539.0,0.017569235
540.0,540.0,0.12607373
541.0,541.0,0.0032094533
542.0,542.0,0.0013888
543.0,543.0,0.64701474
544.0,544.0,0.015464235
545.0,545.0,0.0296732
546.0,546.0,0.0013048927
547.0,547.0,0.009849624
548.0,548.0,0.027336566
549.0,549.0,0.01752025
550.0,550.0,0.007144319
551.0,551.0,0.41403052
552.0,552.0,0.0030730746
553.0,553.0,0.107080385
554.0,554.0,0.0014725112
555.0,555.0,0.060394008
556.0,556.0,0.023671344
557.0,557.0,0.070013285
558.0,558.0,0.018228926
559.0,559.0,0.19071332
560.0,560.0,6.993197E-4
561.0,561.0,9.613206E-4
562.0,562.0,0.70718324
563.0,563.0,0.010018118
564.0,564.0,0.0046252934
565.0,565.0,0.014495596
