Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.85013E-7,0.000018501,0.000173052,1,0,0
2.67097E-7,0.000045211,0.000249819,0.999359795,0,0
3.19864E-7,0.000077197,0.000299165,0.99871959,0,0
4.62099E-7,0.000123407,0.000432168,0.998079385,0,0
5.62662E-7,0.000280448,0.000526191,0.996158771,0,0
6.68146E-7,0.000529515,0.000624807,0.993597951,0,0
7.70432E-7,0.00103785,0.000720425,0.989116517,0,0
1.11267E-6,0.002572981,0.001040287,0.978873239,0,0
1.32521E-6,0.005065708,0.001238868,0.966069142,0,0
1.73466E-6,0.01003404,0.001621334,0.945582586,0,0
3.14541E-6,0.025224347,0.002937986,0.904609475,0,0
4.81711E-6,0.050468371,0.004495924,0.862996159,0,0
8.58562E-6,0.100118096,0.007999074,0.815620999,0,0
1.55157E-5,0.20145523,0.014409009,0.758642766,0,0
2.32429E-5,0.300141529,0.021507387,0.725352113,0,0
3.50863E-5,0.401313609,0.032287995,0.702944942,0.00132626,0
4.62885E-5,0.503785284,0.042375582,0.686939821,0.00397878,0
5.6451E-5,0.602405016,0.051435935,0.674775928,0.0066313,0
6.41614E-5,0.705341315,0.058252846,0.663892446,0.0066313,0
6.58548E-5,0.750582083,0.059743402,0.659411012,0.0066313,0
6.9383E-5,0.804506703,0.062841557,0.654289373,0.0066313,0
7.64487E-5,0.906256164,0.069015226,0.645326504,0.00795756,0
8.15353E-5,1.001453813,0.073434461,0.637644046,0.00795756,0
9.09822E-5,1.105891933,0.081586389,0.629961588,0.01061008,0
9.98445E-5,1.202717383,0.089168595,0.623559539,0.01061008,0
1.14914E-4,1.31109754,0.101918307,0.61715749,0.01061008,0
1.21707E-4,1.405923256,0.107606589,0.612035851,0.01061008,0
1.2903E-4,1.505909527,0.11369885,0.606914213,0.01193634,0
1.4793E-4,1.757131278,0.129230773,0.595390525,0.01193634,0
1.7446E-4,2.016250677,0.150574233,0.585147247,0.01193634,0
2.05163E-4,2.258726264,0.174623173,0.576824584,0.015915119,0
2.26209E-4,2.517868884,0.190713322,0.569142125,0.017241379,0
2.58839E-4,2.754799595,0.215042581,0.562740077,0.017241379,0
2.98172E-4,3.008122332,0.24339855,0.556978233,0.021220159,0
3.25288E-4,3.255356372,0.262348672,0.551856594,0.022546419,0
3.77168E-4,3.509913695,0.297291921,0.54737516,0.022546419,0
3.90326E-4,3.777893109,0.305888011,0.542893726,0.023872679,0
4.12436E-4,4.02050353,0.320096316,0.539052497,0.027851459,0
4.38569E-4,4.277475052,0.336515745,0.535211268,0.029177719,0
4.62079E-4,4.503626563,0.350947678,0.532010243,0.029177719,0
4.71595E-4,4.783846895,0.3566995,0.528169014,0.030503979,0
