"","longitude","latitude","eventDate"
"1",-121.674649,37.770104,2023-01-03
"2",-122.71764,38.370383,2023-01-06
"3",-120.093077,34.427571,2023-01-06
"4",-121.038325,35.484613,2023-01-05
"5",-120.107013,34.541812,2023-01-12
"6",-115.607527,30.807374,2023-01-11
"7",-120.09045,34.400884,2023-01-16
"8",-121.865794,37.506666,2023-01-12
"9",-122.513324,37.931773,2023-01-09
"10",-122.723861,38.200099,2022-01-03
"11",-120.073729,34.443632,2022-01-05
"12",-120.013149,34.493206,2022-01-05
"13",-122.409167,37.636533,2022-01-28
"14",-115.878666,31.18102,2022-01-25
"15",-122.441774,38.212678,2022-01-04
"16",-119.60655,34.5181,2022-01-04
"17",-122.405426,38.585167,2022-01-19
"18",-122.407312,38.428824,2022-01-19
"19",-122.535352,37.841149,2022-02-03
"20",-122.55869,37.964265,2022-02-03
"21",-121.526126,36.338053,2022-02-05
"22",-120.181834,34.476694,2022-02-07
"23",-121.44173,36.376502,2022-02-05
"24",-120.053717,34.576917,2022-02-08
"25",-120.073422,34.591986,2022-02-09
"26",-122.567896,38.369804,2022-02-09
"27",-120.085546,34.487494,2022-02-10
"28",-123.555342,38.610922,2022-02-17
"29",-122.514464,37.94957,2022-02-18
"30",-122.506963,37.813994,2022-02-18
"31",-121.509777,36.645931,2022-02-22
"32",-121.562682,37.091257,2022-02-21
"33",-121.491166,37.1152,2022-02-21
"34",-122.205062,37.152127,2022-02-27
"35",-122.344369,37.307843,2022-02-04
"36",-122.394517,37.337184,2022-02-04
"37",-122.72124,37.918708,2022-02-09
"38",-122.269432,37.11905,2022-03-08
"39",-122.195586,37.238792,2022-03-04
"40",-122.627283,38.139206,2022-03-10
"41",-122.144247,37.001276,2022-03-16
"42",-115.970186,31.197143,2022-03-18
"43",-122.490481,37.991928,2022-03-23
"44",-122.043411,36.805714,2022-03-26
"45",-122.570588,37.861225,2022-03-26
"46",-122.402889,37.852933,2022-03-26
"47",-122.531846,37.864045,2022-03-26
"48",-122.630764,38.344759,2022-03-27
"49",-121.038926,36.407536,2022-03-26
"50",-120.381278,34.813331,2022-03-28
"51",-122.511995,38.339624,2022-03-29
"52",-122.16239,37.938875,2022-03-20
"53",-122.726772,38.130946,2022-03-15
"54",-121.754718,37.300099,2022-03-31
"55",-122.004456,37.969261,2022-04-01
"56",-122.10697,37.870652,2022-04-01
"57",-121.143838,36.406946,2022-04-02
"58",-122.088876,36.863643,2022-04-03
"59",-115.610133,30.809856,2022-04-04
"60",-115.67793,30.804107,2022-04-04
"61",-122.085882,36.98899,2022-04-05
"62",-121.956927,37.487702,2022-04-04
"63",-115.629733,30.969314,2022-04-05
"64",-122.878575,38.03891,2022-04-05
"65",-121.832406,36.479092,2022-04-06
"66",-115.766164,30.976349,2022-04-06
"67",-122.163601,36.998478,2022-04-07
"68",-115.710404,30.888693,2022-04-05
"69",-122.123985,36.976533,2022-04-14
"70",-122.468447,37.821299,2022-04-15
"71",-122.594454,38.391058,2022-04-12
"72",-122.121774,36.976839,2022-04-05
"73",-122.137047,37.879673,2022-04-17
"74",-122.064307,37.869914,2022-04-17
"75",-121.175272,36.414719,2022-04-15
"76",-121.104531,36.409886,2022-04-15
"77",-120.737323,35.191281,2022-04-18
"78",-120.607891,35.31196,2022-04-18
"79",-121.587989,37.067734,2022-04-16
"80",-122.443901,38.386285,2022-04-19
"81",-121.740606,36.827463,2022-04-20
"82",-115.799516,30.989648,2022-04-06
"83",-120.191219,34.595412,2022-04-25
"84",-121.903725,37.823237,2022-04-30
"85",-120.666243,35.368673,2022-04-30
"86",-121.627763,37.252809,2022-04-02
"87",-115.747711,30.958737,2022-04-04
"88",-115.688204,30.942908,2022-04-05
"89",-122.086788,36.874247,2022-05-02
"90",-115.788338,30.830058,2022-05-03
"91",-115.65766,30.883051,2022-05-03
"92",-122.413019,37.998764,2022-05-03
"93",-115.601022,30.891532,2022-05-04
"94",-122.051219,36.809306,2022-05-05
"95",-115.740199,30.975993,2022-05-02
"96",-115.750208,30.994575,2022-05-02
"97",-115.713039,30.967322,2022-05-02
"98",-115.699745,30.891697,2022-05-03
"99",-121.635447,36.959199,2022-05-11
"100",-121.311701,37.140773,2022-05-11
"101",-122.132317,38.497607,2022-05-12
"102",-122.103937,38.498983,2022-05-12
"103",-121.618978,36.590978,2022-05-15
"104",-122.514762,37.899813,2022-05-15
"105",-122.519597,38.287976,2022-05-18
"106",-122.099075,36.857343,2022-05-23
"107",-122.197107,36.85487,2022-05-24
"108",-121.307055,37.18807,2022-05-28
"109",-120.607381,35.531494,2022-05-29
"110",-122.324766,37.470379,2022-05-30
"111",-121.918356,36.404267,2022-06-01
"112",-115.552857,30.91262,2022-06-02
"113",-119.934691,34.444208,2022-06-05
"114",-122.142849,36.930172,2022-06-07
"115",-115.520921,30.979503,2022-06-01
"116",-115.405853,30.935071,2022-06-01
"117",-121.808593,37.581175,2022-06-09
"118",-122.526566,38.297104,2022-06-08
"119",-119.941049,34.504713,2022-06-09
"120",-122.415993,37.694884,2022-06-15
"121",-120.670341,39.06758,2022-06-18
"122",-122.489152,37.815658,2022-06-22
"123",-122.480759,37.609464,2022-06-19
"124",-122.482092,37.788502,2022-06-19
"125",-115.625134,30.86814,2022-06-25
"126",-115.764657,30.928756,2022-06-25
"127",-115.675866,30.80416,2022-06-25
"128",-115.613481,30.810001,2022-06-26
"129",-115.660734,30.882681,2022-06-25
"130",-115.773954,30.820273,2022-06-27
"131",-115.759381,30.837001,2022-06-25
"132",-121.589027,37.697043,2022-06-25
"133",-115.681684,30.826178,2022-06-25
"134",-115.720969,30.907413,2022-06-24
"135",-115.776748,30.898517,2022-06-25
"136",-115.785432,30.883892,2022-06-24
"137",-119.428407,37.778958,2022-06-14
"138",-121.630263,37.365056,2022-06-28
"139",-121.6991,37.547134,2022-06-07
"140",-122.427924,37.519808,2022-07-02
"141",-122.583179,37.454895,2022-07-08
"142",-122.483485,37.447221,2022-07-08
"143",-122.562779,37.570991,2022-07-08
"144",-122.482947,37.54018,2022-07-08
"145",-122.485528,37.419498,2022-07-08
"146",-121.827054,36.599743,2022-07-09
"147",-119.496101,37.683618,2022-07-10
"148",-122.383201,37.589546,2022-07-11
"149",-122.55949,38.333945,2022-07-12
"150",-122.433366,37.864091,2022-07-13
"151",-122.352252,37.447018,2022-07-14
"152",-122.323575,37.559178,2022-07-14
"153",-120.468855,38.628757,2022-07-19
"154",-121.859418,36.534975,2022-07-13
"155",-122.225224,37.570301,2022-07-21
"156",-122.328156,37.413163,2022-07-10
"157",-121.115849,36.414973,2022-07-23
"158",-120.895914,35.374946,2022-07-25
"159",-122.547278,37.223879,2022-07-30
"160",-122.418397,37.309523,2022-07-29
